,abstract,pub_date,document_type,news_desk,section_name,type_of_material,keywords
0,"The election of Santiago Peña keeps the right-wing Colorado Party in control of Paraguay, which it has run for all but five of the past 76 years.",2023-05-01T00:50:51+0000,article,Foreign,World,News,"['PENA, SANTIAGO', 'PARAGUAY', 'ELECTIONS', 'COLORADO PARTY (PARAGUAY)', 'ABDO BENITEZ, MARIO', 'ALEGRE, EFRAIN', 'POLITICS AND GOVERNMENT', 'CARTES, HORACIO']"
1,"This week, Kendall, Roman and Shiv are on a mission to impress the grown-ups watching them in what amounts to their public debut as the stewards of Logan’s legacy.",2023-05-01T02:01:04+0000,article,Culture,Arts,News,"['TELEVISION', 'SUCCESSION (TV PROGRAM)']"
2,"Barefoot on the tarmac, Matsson continues to shock. Shiv bares her neck and Kendall tries a flight jacket.",2023-05-01T02:15:05+0000,article,Styles,Style,News,"['SUCCESSION (TV PROGRAM)', 'TELEVISION', 'FASHION AND APPAREL']"
3,"The Bruins had won an N.H.L.-best 65 games in the regular season and taken a 3-1 series lead, but the Panthers stunned them in Game 7 to eliminate Boston in the first round.",2023-05-01T03:56:31+0000,article,Sports,Sports,News,"['NATIONAL HOCKEY LEAGUE', 'HOCKEY, ICE', 'PLAYOFF GAMES', 'BOSTON BRUINS', 'FLORIDA PANTHERS', 'PASTRNAK, DAVID (1996- )']"
4,Sudan’s health system on the brink.,2023-05-01T04:11:56+0000,article,NYTNow,Briefing,briefing,[]
5,"New York’s affordability crisis has worsened since the pandemic, a report finds.",2023-05-01T04:38:55+0000,article,Metro,New York,briefing,"['NEW YORK CITY', 'INTERNAL-STORYLINE-NO', 'REAL ESTATE AND HOUSING (RESIDENTIAL)', 'AFFORDABLE HOUSING', 'FUND FOR THE CITY OF NEW YORK', 'HOCHUL, KATHLEEN C']"
6,"No corrections appeared in print on Monday, May 1, 2023.",2023-05-01T04:55:43+0000,article,Corrections,Corrections,News,[]
7,"Quotation of the Day for Monday, May 1, 2023.",2023-05-01T04:56:33+0000,article,Summary,Corrections,News,[]
8,"A new series about the woman who hid Anne Frank and her family premieres on National Geographic, and E! streams “the party of the year.”",2023-05-01T05:00:07+0000,article,Culture,Arts,News,"['TELEVISION', 'MOVIES']"
9,This word has appeared in 120 articles on NYTimes.com in the past year. Can you use it in a sentence?,2023-05-01T06:00:02+0000,article,Learning,The Learning Network,News,[]
10,Feeling stuck on today’s puzzle? We can help.,2023-05-01T07:00:03+0000,article,Games,Crosswords & Games,News,['SPELLING BEE (GAME)']
11,Our columnist reviews the day’s puzzle. Warning: Contains spoilers!,2023-05-01T07:00:05+0000,article,Games,Crosswords & Games,News,"['CROSSWORD PUZZLES', 'WORDLE (PUZZLE)']"
12,"In Arizona, where independents are a crucial voting bloc, there might not be the same sense of urgency for a Biden-Trump rematch. And some voters might look elsewhere.",2023-05-01T07:00:11+0000,article,Politics,U.S.,News,"['PRESIDENTIAL ELECTION OF 2024', 'TRUMP, DONALD J', 'BIDEN, JOSEPH R JR', 'ARIZONA', 'VOTING AND VOTERS', 'THIRD-PARTY POLITICS (US)']"
13,"In January, Iran executed a former senior official who provided Britain with valuable intelligence on Iranian nuclear and military programs over a decade, according to Western intelligence officials.",2023-05-01T07:11:18+0000,article,Foreign,World,News,"['ESPIONAGE AND INTELLIGENCE SERVICES', 'INTERNATIONAL RELATIONS', 'ASSASSINATIONS AND ATTEMPTED ASSASSINATIONS', 'CLASSIFIED INFORMATION AND STATE SECRETS', 'NUCLEAR WEAPONS', 'BRITISH SECRET INTELLIGENCE SERVICE', 'AKBARI, ALIREZA', 'IRAN', 'GREAT BRITAIN', 'INTERNAL-SUB-ONLY']"
