,abstract,pub_date,document_type,news_desk,section_name,type_of_material,keywords
0,The Mediterranean fruit fly lays eggs that hatch into maggots inside fruit. Officials plan to halt population growth by dropping millions of sterile male flies over the affected region.,2023-11-01T00:09:56+0000,article,Express,Science,News,"['FRUIT FLIES', 'PESTICIDES', 'AGRICULTURE AND FARMING', 'FRUIT', 'VEGETABLES', 'AGRICULTURE DEPARTMENT', 'CALIFORNIA', 'LOS ANGELES (CALIF)']"
1,A gateway to the Gaza Strip has allowed some vital aid in but has yet to let anyone get out.,2023-11-01T00:42:01+0000,article,Foreign,World,News,"['ISRAEL-GAZA WAR (2023- )', 'SINAI PENINSULA (EGYPT)', 'EGYPT', 'RAFAH (GAZA STRIP)', 'GAZA STRIP', 'HAMAS']"
2,The Oct. 7 Hamas assault on Israel and a surge in acts of antisemitism have awakened a repressed horror in Jewish populations across the continent.,2023-11-01T00:46:02+0000,article,Foreign,World,News,"['EUROPE', 'JEWS AND JUDAISM', 'ANTI-SEMITISM', 'HATE CRIMES', 'FEAR (EMOTION)', 'ISRAEL-GAZA WAR (2023- )', 'ISRAEL', 'GAZA STRIP', 'WEST BANK', 'INTERNATIONAL RELATIONS', 'POLITICS AND GOVERNMENT', 'HOLOCAUST AND THE NAZI ERA', 'MUSLIMS AND ISLAM', 'PALESTINIANS', 'TERRORISM', 'DEMONSTRATIONS, PROTESTS AND RIOTS', 'THREATS AND THREATENING MESSAGES']"
3,"Ina Kenoyer, of Minot, N.D., killed her boyfriend with antifreeze after learning he was set to inherit $30 million and planned to leave her, the authorities said.",2023-11-01T01:05:50+0000,article,Express,U.S.,News,"['MURDERS, ATTEMPTED MURDERS AND HOMICIDES', 'POISONING AND POISONS', 'DOMESTIC VIOLENCE', 'WILLS AND ESTATES', 'MINOT (ND)']"
4,His performance as a character sometimes called “the dark prince” won him a Daytime Emmy Award in 2016.,2023-11-01T01:17:05+0000,article,Obits,Arts,Obituary (Obit),"['CHRISTOPHER, TYLER (1972-2023)', 'DEATHS (OBITUARIES)', 'ACTORS AND ACTRESSES', 'SOAP OPERAS', 'DAYS OF OUR LIVES (TV PROGRAM)', 'GENERAL HOSPITAL (TV PROGRAM)']"
5,Steve Weyer makes his New York Times debut.,2023-11-01T02:00:07+0000,article,Games,Crosswords & Games,News,"['CROSSWORD PUZZLES', 'WEYER, STEVE (CROSSWORD CONSTRUCTOR)']"
6,"Corrections that appeared in print on Wednesday, Nov. 1, 2023.",2023-11-01T02:59:20+0000,article,Corrections,Corrections,Correction,[]
7,The model and television host dressed as a giant peacock with some help from Cirque du Soleil.,2023-11-01T03:01:29+0000,article,Styles,Style,News,"['CIRCUSES', 'HALLOWEEN', 'MODELS (PROFESSIONAL)', 'KLUM, HEIDI', 'CIRQUE DU SOLEIL', 'TOP MODEL', 'PEACOCKS AND PEAHENS', 'PERFORMANCE ART', 'ACROBATS AND ACROBATICS']"
8,"Migrant workers, who moved from China’s villages to its big cities, were a secret weapon building the economy. Now many see few options.",2023-11-01T04:01:12+0000,article,Business,Business Day,News,"['CORONAVIRUS (2019-NCOV)', 'LABOR AND JOBS', 'MIGRANT LABOR (NON-AGRICULTURE)', 'ECONOMIC CONDITIONS AND TRENDS', 'XI JINPING', 'CHINA']"
9,"The party was riding high when it entered the government two years ago. Now it is stumbling, blamed for driving voters to the far right.",2023-11-01T04:01:20+0000,article,Foreign,World,News,"['GERMANY', 'GREEN PARTY (GERMANY)', 'POLITICS AND GOVERNMENT', 'POLLS AND PUBLIC OPINION', 'ELECTIONS', 'RIGHT-WING EXTREMISM AND ALT-RIGHT', 'ALTERNATIVE AND RENEWABLE ENERGY', 'HEATING', 'BAERBOCK, ANNALENA', 'HABECK, ROBERT', 'SCHOLZ, OLAF (1958- )', 'SOCIAL DEMOCRATIC PARTY (GERMANY)', 'ALTERNATIVE FOR GERMANY']"
10,Israel strikes a crowded area in Gaza.,2023-11-01T04:02:47+0000,article,NYTNow,Briefing,briefing,[]
11,Giorgia Meloni’s breakup offers a window onto the nature of power in Italy today.,2023-11-01T05:00:08+0000,article,OpEd,Opinion,Op-Ed,"['ITALY', 'POLITICS AND GOVERNMENT', 'MELONI, GIORGIA (1977- )', 'GIAMBRUNO, ANDREA', 'BERLUSCONI, SILVIO', 'MEDIASET', 'FORZA ITALIA', 'BROTHERS OF ITALY (ITALIAN POLITICAL PARTY)', 'CONFLICTS OF INTEREST', 'DATING AND RELATIONSHIPS']"
