,abstract,pub_date,document_type,news_desk,section_name,type_of_material,keywords
0,"The Pentagon said the decision was because of military readiness, but it comes as the Republican senator from Alabama has held up military promotions to protest an abortion access policy.",2023-08-01T00:27:55+0000,article,Washington,U.S.,News,"['UNITED STATES POLITICS AND GOVERNMENT', 'UNITED STATES DEFENSE AND MILITARY FORCES', 'ABORTION', 'UNITED STATES SPACE FORCE', 'BIDEN, JOSEPH R JR', 'TUBERVILLE, TOMMY', 'ALABAMA', 'COLORADO SPRINGS (COLO)']"
1,He played dozens of memorable roles on big and small screens throughout his career. We’ve rounded up what to watch and where to watch it.,2023-08-01T01:15:10+0000,article,Culture,Arts,News,"['TELEVISION', 'MOVIES', 'REUBENS, PAUL', ""PEE-WEE'S PLAYHOUSE (TV PROGRAM)"", ""PEE-WEE'S BIG ADVENTURE (MOVIE)"", 'MOSAIC (TV PROGRAM)', '30 ROCK (TV PROGRAM)', 'BUFFY THE VAMPIRE SLAYER (TV PROGRAM)', 'PORTLANDIA (TV PROGRAM)', 'THE NIGHTMARE BEFORE CHRISTMAS (MOVIE)', 'FLIGHT OF THE NAVIGATOR (MOVIE)', 'ACTORS AND ACTRESSES']"
2,Kathryn Ladner branches out.,2023-08-01T02:00:07+0000,article,Games,Crosswords & Games,News,['CROSSWORD PUZZLES']
3,The scramble to cover legal bills for former President Donald J. Trump and his associates has prompted what appears to be the largest refund in federal campaign finance history.,2023-08-01T03:00:04+0000,article,Politics,U.S.,News,"['CAMPAIGN FINANCE', 'PRESIDENTIAL ELECTION OF 2024', 'FEDERAL CRIMINAL CASE AGAINST TRUMP (DOCUMENTS CASE)', 'POLITICAL ACTION COMMITTEES', 'UNITED STATES POLITICS AND GOVERNMENT', 'TRUMP, DONALD J', 'SAVE AMERICA PAC', 'MAKE AMERICA GREAT AGAIN INC', 'REPUBLICAN PARTY']"
4,The details of Ukraine’s drone strikes.,2023-08-01T03:39:08+0000,article,NYTNow,Briefing,briefing,[]
5,Anthropologists are finding that women in modern foraging societies have played a major role in catching game.,2023-08-01T04:01:13+0000,article,Science,Science,News,"['YOUR-FEED-SCIENCE', 'ARCHAEOLOGY AND ANTHROPOLOGY', 'WOMEN AND GIRLS', 'HUNTING AND TRAPPING', 'PLOS ONE (JOURNAL)', 'PERU', 'INTERNAL-OPEN-ACCESS-FROM-NL']"
6,"A new law underscores how Vladimir V. Putin is increasingly using the war in Ukraine as justification for greater restrictions on L.G.B.T.Q. life, portraying it as a consequence of deviant Western values.",2023-08-01T04:01:14+0000,article,Foreign,World,News,"['RUSSIA', 'PUTIN, VLADIMIR V', 'HOMOSEXUALITY AND BISEXUALITY', 'TRANSGENDER', 'DISCRIMINATION', 'LAW AND LEGISLATION', 'RUSSIAN INVASION OF UKRAINE (2022)', 'POLITICS AND GOVERNMENT', 'PROPAGANDA', 'UKRAINE']"
7,"Quotation of the Day for Tuesday, August 1, 2023.",2023-08-01T04:10:40+0000,article,Summary,Corrections,Quote,[]
8,"Corrections that appeared in print on Tuesday, Aug. 1, 2023.",2023-08-01T04:18:36+0000,article,Corrections,Corrections,News,[]
9,"Responses from a survey of 1,329 registered voters nationwide, including an oversample of 818 registered Republican voters, conducted July 23-27, 2023",2023-08-01T04:19:08+0000,multimedia,U.S.,U.S.,Interactive Feature,"['INTERNAL-OPEN-ACCESS', 'NEW YORK TIMES/SIENA COLLEGE POLL']"
