,abstract,pub_date,document_type,news_desk,section_name,type_of_material,keywords
0,"Is this really about policy, or is it personal?",2023-12-01T00:00:09+0000,article,OpEd,Opinion,Op-Ed,"['PATIENT PROTECTION AND AFFORDABLE CARE ACT (2010)', 'HEALTH INSURANCE AND MANAGED CARE', 'OBAMA, BARACK', 'TRUMP, DONALD J', 'PRESIDENTIAL ELECTION OF 2024', 'REPUBLICAN PARTY', 'UNITED STATES POLITICS AND GOVERNMENT']"
1,"Prosecutors said the former corrections officers had made false statements to investigators after three of them assaulted Quantez Burks, 37, in March 2022.",2023-12-01T00:02:56+0000,article,Express,U.S.,News,"['PRISONS AND PRISONERS', 'DEATHS (FATALITIES)', 'ASSAULTS', 'POLICE BRUTALITY, MISCONDUCT AND SHOOTINGS', 'ETHICS AND OFFICIAL MISCONDUCT', 'PRISON GUARDS AND CORRECTIONS OFFICERS', 'WEST VIRGINIA']"
2,A blueprint reviewed by The Times laid out the attack in detail. Israeli officials dismissed it as aspirational and ignored specific warnings.,2023-12-01T00:16:08+0000,article,Foreign,World,News,"['ISRAEL-GAZA WAR (2023- )', 'ISRAEL', 'DEFENSE AND MILITARY FORCES', 'ESPIONAGE AND INTELLIGENCE SERVICES', 'GAZA STRIP', 'HAMAS', 'TERRORISM', 'BORDER BARRIERS']"
3,"TikTok, which is owned by the Chinese company ByteDance, has been locked in a legal battle with Montana since the state passed the ban in April.",2023-12-01T00:16:41+0000,article,Business,Business Day,News,"['TIKTOK (BYTEDANCE)', 'BEIJING BYTEDANCE TECHNOLOGY CO LTD', 'MONTANA', 'MOLLOY, DONALD W', 'KNUDSEN, AUSTIN', 'DECISIONS AND VERDICTS', 'SOCIAL MEDIA', 'COMPUTERS AND THE INTERNET', 'LAW AND LEGISLATION', 'SUITS AND LITIGATION (CIVIL)', 'MOBILE APPLICATIONS', 'FREEDOM OF SPEECH AND EXPRESSION', 'REGULATION AND DEREGULATION OF INDUSTRY', 'DATA-MINING AND DATABASE MARKETING', 'FIRST AMENDMENT (US CONSTITUTION)']"
4,"In his decades in politics, the statesman advised many presidents. Here are some of their thoughts from over the years, in their own words.",2023-12-01T00:27:49+0000,article,Washington,U.S.,News,"['UNITED STATES POLITICS AND GOVERNMENT', 'PRESIDENTS AND PRESIDENCY (US)', 'BIDEN, JOSEPH R JR', 'KISSINGER, HENRY A', 'BUSH, GEORGE', 'BUSH, GEORGE W', 'CARTER, JIMMY', 'CLINTON, BILL', 'FORD, GERALD RUDOLPH JR', 'NIXON, RICHARD MILHOUS', 'OBAMA, BARACK', 'TRUMP, DONALD J']"
5,"Christian Ziegler, the state G.O.P. chairman, is under investigation after a sexual battery allegation. Democrats have called for his resignation.",2023-12-01T00:34:00+0000,article,National,U.S.,News,"['UNITED STATES POLITICS AND GOVERNMENT', 'REPUBLICAN PARTY', 'MOMS FOR LIBERTY', 'DEMOCRATIC PARTY', 'DESANTIS, RON', 'FRIED, NICOLE (NIKKI)', 'FLORIDA', 'SARASOTA (FLA)']"
6,"President Biden recommitted to a promise to invest in the continent, as the United States has lagged behind Russia and China in competing for influence.",2023-12-01T00:35:41+0000,article,Washington,U.S.,News,"['UNITED STATES POLITICS AND GOVERNMENT', 'UNITED STATES INTERNATIONAL RELATIONS', 'FOREIGN INVESTMENTS', 'BIDEN, JOSEPH R JR', 'UNITED STATES DEFENSE AND MILITARY FORCES', 'LOURENCO, JOAO', 'ANGOLA', 'AFRICA']"
7,"The superyacht, called Koru, arrived in Port Everglades in Florida on Nov. 22, and has been docked near a more-than 610-foot-long oil tanker named Magnolia State.",2023-12-01T00:51:53+0000,article,Express,U.S.,News,"['PORTS', 'BEZOS, JEFFREY P', 'AMAZON.COM INC', 'OCEANCO', 'FLORIDA', 'PORT EVERGLADES (FLA)', 'SHIPS AND SHIPPING']"
8,The charges illustrate how complicated it can be for American presidents to balance their relationships with deeply imperfect allies.,2023-12-01T00:54:11+0000,article,Washington,U.S.,News,"['ASSASSINATIONS AND ATTEMPTED ASSASSINATIONS', 'UNITED STATES INTERNATIONAL RELATIONS', 'UNITED STATES POLITICS AND GOVERNMENT', 'SIKHS AND SIKHISM', 'JUSTICE DEPARTMENT', 'ESPIONAGE AND INTELLIGENCE SERVICES', 'CANADA', 'INDIA', 'NEW YORK STATE']"
9,Secretary of State Antony J. Blinken met with Israeli officials and a Palestinian leader on Thursday to seek improved conditions for Gaza’s civilians and to try to exert influence over Israel’s expected military offensive.,2023-12-01T01:05:19+0000,article,Foreign,World,News,"['ISRAEL-GAZA WAR (2023- )', 'ISRAEL', 'DEFENSE AND MILITARY FORCES', 'KIDNAPPING AND HOSTAGES', 'GAZA STRIP', 'HAMAS', 'TERRORISM', 'PALESTINIANS', 'PRISONS AND PRISONERS', 'CIVILIAN CASUALTIES', 'DEATHS (FATALITIES)', 'POLITICS AND GOVERNMENT', 'BLINKEN, ANTONY J', 'STATE DEPARTMENT', 'UNITED STATES INTERNATIONAL RELATIONS']"
10,"Guy Philippe, who helped lead the coup that ousted President Jean-Bertrand Aristide in 2004, is back in the politically unstable country after serving time in a U.S. prison.",2023-12-01T01:24:00+0000,article,Foreign,World,News,"['HAITI', 'PHILIPPE, GUY (1968- )', 'MOISE, JOVENEL (1968- )', 'ARISTIDE, JEAN-BERTRAND', 'POLITICS AND GOVERNMENT', ""COUPS D'ETAT AND ATTEMPTED COUPS D'ETAT"", 'ASSASSINATIONS AND ATTEMPTED ASSASSINATIONS']"
11,"For Mr. DeSantis, taking on Gavin Newsom is fraught with risks at a time when his presidential campaign seems to be gasping for air.",2023-12-01T01:31:06+0000,article,Politics,U.S.,News,"['PRESIDENTIAL ELECTION OF 2024', 'DESANTIS, RON', 'REPUBLICAN PARTY', 'DEBATES (POLITICAL)', 'UNITED STATES POLITICS AND GOVERNMENT', 'NEWSOM, GAVIN']"
12,"Quintus Chen, of Flushing, was struck by a car that was pulling away from the curb. A 20-year-old man was charged with leaving the scene of a deadly accident.",2023-12-01T01:59:41+0000,article,Metro,New York,News,"['DEATHS (FATALITIES)', 'TRAFFIC ACCIDENTS AND SAFETY', 'CHILDREN AND CHILDHOOD', 'HIT-AND-RUN DRIVERS', 'FAMILIES FOR SAFE STREETS', 'TRANSPORTATION ALTERNATIVES', 'KIM, RONALD (1979- )', 'FLUSHING (QUEENS, NY)']"
13,Jen Silverman’s noir play considers the role of artists in the making of propaganda.,2023-12-01T02:00:08+0000,article,Culture,Theater,Review,"['THEATER', 'THEATER (OFF BROADWAY)', 'SPAIN (PLAY)', 'SECOND STAGE THEATER', 'TONY KISER THEATER (MANHATTAN, NY)', 'SILVERMAN, JEN (PLAYWRIGHT)', 'RAFAELI, TYNE', 'IRELAND, MARIN', 'BURNAP, ANDREW']"
14,"After receiving the final rose in the “Golden Bachelor,” Ms. Nist, 70, spoke about getting to know her new fiancé. First order of business: teaching him how to pronounce her name.",2023-12-01T02:40:35+0000,article,Styles,Style,News,"['REALITY TELEVISION', 'THE GOLDEN BACHELOR (TV PROGRAM)', 'TURNER, GERRY (THE GOLDEN BACHELOR)', 'DATING AND RELATIONSHIPS', 'AGE, CHRONOLOGICAL', 'RATINGS (AUDIENCE MEASUREMENT)']"
15,Jem Burch gives solvers a run for their money.,2023-12-01T03:00:09+0000,article,Games,Crosswords & Games,News,"['CROSSWORD PUZZLES', 'GAMES']"
16,David Balton and Jane Stewart’s puzzle conceals an inspiring modern verse.,2023-12-01T03:02:03+0000,article,Games,Crosswords & Games,News,"['BALTON, DAVID (CROSSWORD CONSTRUCTOR)', 'GORMAN, AMANDA', 'STEWART, JANE (CROSSWORD CONSTRUCTOR)', 'ACROSTIC PUZZLES']"
