,abstract,pub_date,document_type,news_desk,section_name,type_of_material,keywords
0,Jarrod Powell pleaded guilty to attacking Yao Pan Ma on an East Harlem street because the victim was of Asian descent.,2023-04-01T00:45:07+0000,article,Metro,New York,News,"['MURDERS, ATTEMPTED MURDERS AND HOMICIDES', 'HATE CRIMES', 'ASIAN-AMERICANS', 'MA, YAO PAN (D 2021)', 'POWELL, JARROD (APRIL 23, 2021 ASSAULT)', 'EAST HARLEM (MANHATTAN, NY)']"
1,Angel Reese had 24 points and 12 rebounds as the Tigers took control of the game in the last period.,2023-04-01T01:24:20+0000,article,Sports,Sports,News,"['BASKETBALL (COLLEGE)', 'NCAA BASKETBALL CHAMPIONSHIPS (WOMEN)', 'LOUISIANA STATE UNIVERSITY', 'VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY', 'MULKEY, KIM', 'REESE, ANGEL (2002- )']"
2,"The man was shot dead early Saturday at the edge of the Aqsa Mosque compound, known to Jews as the Temple Mount. The circumstances of the killing were disputed and risked raising tensions during Ramadan.",2023-04-01T01:42:57+0000,article,Foreign,World,News,"['AL AQSA MOSQUE (JERUSALEM)', 'TEMPLE MOUNT (JERUSALEM)', 'POLICE', 'DEATHS (FATALITIES)', 'JEWS AND JUDAISM', 'PALESTINIANS', 'MUSLIMS AND ISLAM']"
3,"A year ago, the investigation into the former president appeared from the outside to be over. But a series of crucial turning points led to this week’s indictment.",2023-04-01T01:58:46+0000,article,Metro,New York,News,"['NEW YORK STATE CRIMINAL CASE AGAINST TRUMP (71543-23)', 'TRUMP, DONALD J', 'CLIFFORD, STEPHANIE (1979- )', 'COHEN, MICHAEL D (1966- )', 'CAMPAIGN FINANCE', 'FRAUDS AND SWINDLING', 'PRESIDENTIAL ELECTION OF 2016', 'BRAGG, ALVIN', 'DISTRICT ATTORNEYS', 'TRUMP ORGANIZATION', 'MANHATTAN (NYC)']"
4,"This Saturday collaboration between Wyna Liu and Joel Fagliano looks hard, but it really just looks hard.",2023-04-01T02:00:05+0000,article,Games,Crosswords & Games,News,"['CROSSWORD PUZZLES', 'FAGLIANO, JOEL (CROSSWORD CONSTRUCTOR)', 'LIU, WYNA (CROSSWORD CONSTRUCTOR)', ""APRIL FOOL'S DAY""]"
5,Judge Thomas L. Parker agreed to delay the implementation of a law limiting drag performance in Tennessee for at least 14 days.,2023-04-01T02:29:25+0000,multimedia,U.S.,U.S.,Interactive Feature,[]
6,"A federal judge put a hold on the law hours before it was to take effect, saying there were legitimate questions about whether it violated the First Amendment.",2023-04-01T03:15:06+0000,article,National,U.S.,News,"['DRAG (PERFORMANCE)', 'TENNESSEE', 'LAW AND LEGISLATION']"
7,"Quotation of the Day for Saturday, April 1, 2023.",2023-04-01T03:44:22+0000,article,Summary,Corrections,Quote,[]
8,"The Gamecocks were considered a heavy favorite to repeat as champions. But Clark and the Hawkeyes delivered, all the way to the championship game against Louisiana State.",2023-04-01T03:50:34+0000,article,Sports,Sports,News,"['BASKETBALL (COLLEGE)', 'NCAA BASKETBALL CHAMPIONSHIPS (WOMEN)', 'UNIVERSITY OF IOWA', 'UNIVERSITY OF SOUTH CAROLINA', 'CLARK, CAITLIN (2002- )', 'BOSTON, ALIYAH (2001- )']"
9,"Florida Atlantic has seemingly come out of nowhere to make a deep run in the men’s N.C.A.A. tournament. The university’s ambitions are relatively young, too.",2023-04-01T04:01:08+0000,article,Sports,Sports,News,"['BASKETBALL', 'NCAA BASKETBALL CHAMPIONSHIPS (MEN)', 'BASKETBALL (COLLEGE)', 'CONFERENCE USA', 'FLORIDA ATLANTIC UNIVERSITY', 'SCHNELLENBERGER, HOWARD', 'FLORIDA']"
