,abstract,pub_date,document_type,news_desk,section_name,type_of_material,keywords
0,The new chairman of the Senate Foreign Relations Committee could force the Biden administration to reverse its decision to send Egypt $235 million in military assistance.,2023-10-01T00:06:00+0000,article,Washington,U.S.,News,"['EGYPT', 'HUMAN RIGHTS AND HUMAN RIGHTS VIOLATIONS', 'POLITICAL PRISONERS', 'FOREIGN AID', 'UNITED STATES POLITICS AND GOVERNMENT', 'UNITED STATES INTERNATIONAL RELATIONS', 'SENATE COMMITTEE ON FOREIGN RELATIONS', 'BIDEN, JOSEPH R JR', 'CARDIN, BENJAMIN L', 'STATE DEPARTMENT']"
1,The Senate overwhelmingly passed a bill to fund the federal government through mid-November. See how each senator voted.,2023-10-01T00:06:25+0000,multimedia,Graphics,U.S.,Interactive Feature,"['SHUTDOWNS (INSTITUTIONAL)', 'SENATE', 'FEDERAL BUDGET (US)']"
2,"In much of Europe, the election in Slovakia was seen as a bellwether of mainstream support for Ukraine in its war with Russia. But voters seemed most concerned with pocketbook issues.",2023-10-01T00:18:47+0000,article,Foreign,World,News,"['SLOVAKIA', 'POLITICS AND GOVERNMENT', 'ELECTIONS', 'FICO, ROBERT', 'BRATISLAVA (SLOVAKIA)', 'INTERNATIONAL RELATIONS', 'RUSSIA', 'UKRAINE', 'RUSSIAN INVASION OF UKRAINE (2022)', 'SIMECKA, MICHAL (1984- )']"
3,"Gideon Cody, who orchestrated a widely criticized raid on The Marion County Record, was suspended indefinitely, a city official said on Saturday.",2023-10-01T00:47:45+0000,article,Express,U.S.,News,"['NEWSPAPERS', 'MARION COUNTY RECORD (NEWSPAPER)', 'SEARCH AND SEIZURE', 'MARION (KAN)', 'POLICE', 'RECORDS AND ACHIEVEMENTS', 'FREEDOM OF THE PRESS']"
4,"The assistant general manager of the Calgary Flames, he was given a year to live in 2019. He and his wife used the time to document life with the disease.",2023-10-01T01:38:51+0000,article,Sports,Sports,Obituary (Obit),"['SNOW, CHRIS', 'DEATHS (OBITUARIES)', 'HOCKEY, ICE', 'CALGARY FLAMES', 'NATIONAL HOCKEY LEAGUE', 'AMYOTROPHIC LATERAL SCLEROSIS']"
5,The move marks a loss for the state labor federation and disappointed union leaders who had hoped to capitalize on a wave of high-profile strikes in the state.,2023-10-01T02:33:32+0000,article,National,U.S.,News,"['CALIFORNIA', 'NEWSOM, GAVIN', 'POLITICS AND GOVERNMENT', 'LAW AND LEGISLATION', 'VETOES (US)', 'ORGANIZED LABOR', 'STRIKES', 'UNEMPLOYMENT INSURANCE']"
6,"No corrections appeared in print on Sunday, Oct. 1, 2023.",2023-10-01T04:02:54+0000,article,Corrections,Corrections,News,[]
7,"Quotation of the Day for Sunday, Oct. 1, 2023.",2023-10-01T04:04:09+0000,article,Summary,Corrections,Quote,[]
8,"The former governor of South Carolina, who was ambassador to the United Nations under Donald Trump, now needs to appeal to early state voters.",2023-10-01T04:19:50+0000,article,Politics,U.S.,News,"['HALEY, NIKKI R', 'IOWA', 'PRESIDENTIAL ELECTION OF 2024', 'REPUBLICAN PARTY']"
9,Feeling stuck on today’s puzzle? We can help.,2023-10-01T07:00:09+0000,article,Games,Crosswords & Games,News,['SPELLING BEE (GAME)']
10,"For The Veggie, a New York Times newsletter, Tanya Sichynsky mines her personal life for recipe ideas.",2023-10-01T07:00:10+0000,article,Insider,Times Insider,News,"['VEGETABLES', 'VEGETARIANISM', 'COOKING AND COOKBOOKS', 'RECIPES']"
11,"Saving a spot in a long line, pulling weeds in Brooklyn and more reader tales of New York City in this week’s Metropolitan Diary.",2023-10-01T07:00:17+0000,article,Metropolitan,New York,News,['NEW YORK CITY']
12,"Through partnerships and 3-D printing, NASA is plotting how to build houses on the moon by 2040.",2023-10-01T07:00:20+0000,article,RealEstate,Real Estate,News,"['MOON', 'MARS (PLANET)', 'NATIONAL AERONAUTICS AND SPACE ADMINISTRATION', 'SPACE AND ASTRONOMY', 'REAL ESTATE AND HOUSING (RESIDENTIAL)', 'CONCRETE', 'EARTH', 'SCIENCE AND TECHNOLOGY', 'ROCKET SCIENCE AND PROPULSION', 'AUDIO-NEUTRAL-INFORMATIVE', 'AUDIO-POSITIVE-HAPPY']"
13,Our columnist reviews the day’s puzzle. Warning: Contains spoilers!,2023-10-01T07:00:25+0000,article,Games,Crosswords & Games,News,"['CROSSWORD PUZZLES', 'WORDLE (PUZZLE)']"
14,"Investigators are talking to women behind bars who worked as escorts and had encounters with the suspect, Rex Heuermann. They had been ignored for years.",2023-10-01T07:00:26+0000,article,Metro,New York,News,"['SERIAL MURDERS', 'HEUERMANN, REX (1963- )', 'PROSTITUTION', 'SEX WORKERS PROJECT', 'SUFFOLK COUNTY (NY)', 'GILGO BEACH (NY)', 'POLICE DEPARTMENT (SUFFOLK COUNTY, NY)']"
15,"Russia has quietly been distributing its own flags throughout West Africa, where they are now considered “so cool.”",2023-10-01T07:00:26+0000,article,Foreign,World,News,"['NIGER', 'RUSSIA', 'WEST AFRICA', 'FLAGS, EMBLEMS AND INSIGNIA', 'INTERNATIONAL RELATIONS', 'POLITICS AND GOVERNMENT']"
16,"After emigrating to New Jersey from Egypt, Wael Hana faced a string of business and legal problems. Then his friend started dating a powerful U.S. senator.",2023-10-01T07:00:42+0000,article,Metro,New York,News,"['MENENDEZ, ROBERT', 'ESPIONAGE AND INTELLIGENCE SERVICES', 'UNITED STATES INTERNATIONAL RELATIONS', 'UNITED STATES POLITICS AND GOVERNMENT', 'IS EG HALAL', 'SENATE', 'MENENDEZ, NADINE', 'HANA, WAEL', 'DAIBES, FRED', 'EGYPT', 'NEW JERSEY', 'HALAL FOODS AND PRODUCTS', 'BRIBERY AND KICKBACKS', 'CONTENT TYPE: PERSONAL PROFILE']"
17,"One of the rarest editions of The New York Times, from election night in 2000, never made it further than the newsroom.",2023-10-01T07:00:42+0000,article,Summary,Times Insider,News,"['NEWSPAPERS', 'LELYVELD, JOSEPH', 'NAGOURNEY, ADAM', 'BERKE, RICHARD L']"
18,"In a war built around artillery, tanks, drones and cruise missiles, the role of the sniper, unseen and lethal, occupies an often overlooked but essential part of the battlefield.",2023-10-01T07:00:45+0000,article,Foreign,World,News,"['RUSSIAN INVASION OF UKRAINE (2022)', 'DEFENSE AND MILITARY FORCES', 'UKRAINE', 'RUSSIA', 'DRONES (PILOTLESS PLANES)']"
19,Sarah Burton says goodbye to Alexander McQueen with a triumphant collection; Gabriela Hearst departs Chloé.,2023-10-01T08:01:40+0000,article,Styles,Style,News,"['FASHION AND APPAREL', 'TEXTILES', 'WOMEN AND GIRLS', 'ALEXANDER MCQUEEN LTD', 'CHLOE (FASHION LABEL)', 'BURTON, SARAH (1974- )', 'HEARST, GABRIELA', 'YOUR-FEED-FASHION', 'PARIS FASHION WEEK']"
20,"The love affair between fashion and technology gets revived at Coperni, Anrealage and Junya Watanabe. Will it be any more successful this time around?",2023-10-01T08:02:57+0000,article,Styles,Style,News,"['FASHION AND APPAREL', 'WEARABLE COMPUTING', 'PARIS FASHION WEEK', 'ANREALAGE CO LTD', 'COPERNI (FASHION LABEL)', 'WATANABE, JUNYA', 'YOUR-FEED-FASHION']"
21,Melissa Broder’s “Death Valley” follows a grieving narrator through her reconnection to the earth.,2023-10-01T09:00:18+0000,article,BookReview,Books,Review,"['BOOKS AND LITERATURE', 'DEATH VALLEY: A NOVEL (BOOK)', 'BRODER, MELISSA']"
22,"Elsa Morante’s propulsive 1940s saga of women’s lives, “Lies and Sorcery,” brings its penetrating insight to a new generation.",2023-10-01T09:00:20+0000,article,BookReview,Books,Review,"['BOOKS AND LITERATURE', 'LIES AND SORCERY (BOOK)', 'MORANTE, ELSA', 'MCPHEE, JENNY']"
23,"Apparitions, black hares and time warps festoon the pages of Elizabeth Hand’s “A Haunting on the Hill,” set in the same moldering mansion as Shirley Jackson’s classic horror novel.",2023-10-01T09:00:25+0000,article,BookReview,Books,Review,"['BOOKS AND LITERATURE', 'A HAUNTING ON THE HILL (BOOK)', 'HAND, ELIZABETH']"
24,"Rohit Chopra, who leads the Consumer Financial Protection Bureau, says he is simply enforcing the law. Bankers call him reckless — a “regulator gone rogue.”",2023-10-01T09:00:26+0000,article,Business,Business Day,News,"['CHOPRA, ROHIT', 'CONSUMER FINANCIAL PROTECTION BUREAU', 'REGULATION AND DEREGULATION OF INDUSTRY', 'BANKING AND FINANCIAL INSTITUTIONS', 'UNITED STATES POLITICS AND GOVERNMENT', 'DODD-FRANK WALL STREET REFORM AND CONSUMER PROTECTION ACT (2010)', 'FOR-PROFIT SCHOOLS', 'PAYDAY LOANS', 'CONSUMER PROTECTION', 'CORINTHIAN COLLEGES INC', 'EDUCATION DEPARTMENT (US)', 'ITT TECHNICAL INSTITUTE', 'CONTENT TYPE: PERSONAL PROFILE']"
25,"In “A Day in the Life of Abed Salama,” Nathan Thrall untangles the political and personal story of a bus crash on the outskirts of Jerusalem.",2023-10-01T09:00:32+0000,article,BookReview,Books,Review,"['BOOKS AND LITERATURE', 'TRAFFIC ACCIDENTS AND SAFETY', 'PALESTINIANS', 'CHILDREN AND CHILDHOOD', 'ISRAELI SETTLEMENTS', 'INFRASTRUCTURE (PUBLIC WORKS)', 'NEW YORK REVIEW OF BOOKS', 'THRALL, NATHAN', 'ISRAEL']"
26,"A hunting contest has exposed tensions over which animals deserve protection, who gets to define humaneness and how children should be taught about conservation.",2023-10-01T09:00:32+0000,article,Foreign,World,News,"['INVASIVE SPECIES', 'CHILDREN AND CHILDHOOD', 'RURAL AREAS', 'CATS', 'HUNTING AND TRAPPING', 'ANIMAL ABUSE, RIGHTS AND WELFARE', 'CONSERVATION OF RESOURCES', 'NEW ZEALAND']"
27,Brands selling feminine care products have dropped the euphemisms to sell to younger consumers. But are they still capitalizing on old stigmas?,2023-10-01T09:00:32+0000,article,SundayBusiness,Business Day,News,"['COSMETICS AND TOILETRIES', 'WOMEN AND GIRLS', 'GENERATION Z', 'BLACK PEOPLE', 'BLACKS', 'VAGINA', 'MENSTRUATION', 'SOCIAL MEDIA', 'ADVERTISING AND MARKETING', 'CONTENT TYPE: PERSONAL PROFILE', 'HONEY POT COMPANY']"
28,"In “Brooklyn Crime Novel,” the veteran author transports readers to a conflicted time in the old neighborhood.",2023-10-01T09:00:49+0000,article,Culture,Books,Review,"['BOOKS AND LITERATURE', 'BROOKLYN CRIME NOVEL (BOOK)', 'LETHEM, JONATHAN', 'BROOKLYN (NYC)']"
29,A team of researchers at Stanford find that older scientists are less productive after winning major awards like the Nobel and the MacArthur Fellowship.,2023-10-01T09:00:51+0000,article,Science,Science,News,"['NOBEL PRIZES', 'RESEARCH', 'AWARDS, DECORATIONS AND HONORS', 'MACARTHUR, JOHN D AND CATHERINE T, FOUNDATION', 'SCIENCE AND TECHNOLOGY', 'GHEZ, ANDREA', 'ROYAL SOCIETY OPEN SCIENCE (JOURNAL)']"
30,"The justices will explore the scope of the Second Amendment, the fate of the administrative state and limits on free speech on the internet.",2023-10-01T09:00:55+0000,article,Washington,U.S.,News,"['SUPREME COURT (US)', 'ABORTION', 'GUN CONTROL', 'FREEDOM OF SPEECH AND EXPRESSION', 'ROBERTS, JOHN G JR', 'REGULATION AND DEREGULATION OF INDUSTRY', 'FISHING, COMMERCIAL', 'SACKLER FAMILY', 'CONSUMER FINANCIAL PROTECTION BUREAU', 'FEDERAL RESERVE SYSTEM', 'SOUTH CAROLINA', 'REDISTRICTING AND REAPPORTIONMENT']"
31,"In America’s overwhelmed downtowns, private security guards like Michael Bock have become the solution of last resort.",2023-10-01T09:00:56+0000,article,National,U.S.,News,"['GUARDS', 'SECURITY AND WARNING SYSTEMS', 'PORTLAND (ORE)', 'MENTAL HEALTH AND DISORDERS', 'DRUG ABUSE AND TRAFFIC', 'FENTANYL', 'CONTENT TYPE: PERSONAL PROFILE', 'INTERNAL-SUB-ONLY', 'INTERNAL-GREAT-READ', 'AUDIO-NEUTRAL-INFORMATIVE', 'VIS-PHOTO']"
32,"“The more powerful you are,” says the action icon, author of a new self-help book, “the more power you have in giving back.”",2023-10-01T09:01:03+0000,multimedia,Magazine,Magazine,Interactive Feature,"['SCHWARZENEGGER, ARNOLD', 'CONTENT TYPE: PERSONAL PROFILE', 'BOOKS AND LITERATURE']"
33,"The Chiefs escaped with a win over the Jets on “Sunday Night Football,” but many viewers were watching for shots of a luxury suite.",2023-10-01T09:01:04+0000,article,Culture,Arts,News,"['SWIFT, TAYLOR', 'KELCE, TRAVIS', 'KANSAS CITY CHIEFS', 'NEW YORK JETS', 'FOOTBALL', 'POP AND ROCK MUSIC', 'TELEVISION', 'NEW JERSEY']"
34,Our broken immigration system is still the best option for many migrants — and U.S. employers.,2023-10-01T09:01:05+0000,article,Magazine,Magazine,News,"['ILLEGAL IMMIGRATION', 'LABOR AND JOBS', 'CUSTOMS AND BORDER PROTECTION (US)', 'UNITED STATES ECONOMY', 'UNITED STATES POLITICS AND GOVERNMENT']"
35,There is recourse for customers who arrive at a hotel and are surprised to find a boisterous picket line waiting to greet them.,2023-10-01T09:01:05+0000,article,Business,Your Money,News,"['PERSONAL FINANCES', 'STRIKES', 'HOTELS AND TRAVEL LODGINGS']"
36,"As the nation teetered on the brink of a shutdown, its citizens were largely focused on other things.",2023-10-01T09:01:46+0000,article,Washington,U.S.,News,"['UNITED STATES POLITICS AND GOVERNMENT', 'SHUTDOWNS (INSTITUTIONAL)', 'CURBELO, CARLOS (1980- )', 'MCCARTHY, KEVIN (1965- )', 'MCCASKILL, CLAIRE', 'WASHINGTON (DC)']"
37,The Republican speaker opted to keep the government open the only way he could — by partnering with Democrats — in a surprise reversal that left him as politically vulnerable as ever.,2023-10-01T09:01:55+0000,article,Washington,U.S.,News,"['UNITED STATES POLITICS AND GOVERNMENT', 'SHUTDOWNS (INSTITUTIONAL)', 'FEDERAL BUDGET (US)', 'FOREIGN AID', 'UKRAINE', 'MCCARTHY, KEVIN (1965- )', 'HOUSE OF REPRESENTATIVES', 'REPUBLICAN PARTY', 'DEMOCRATIC PARTY', 'JEFFRIES, HAKEEM', 'GAETZ, MATT', 'LAW AND LEGISLATION']"
38,"When Dianne Feinstein was elected in 1992, only two women were in the U.S. Senate. There were 25 on the day she died.",2023-10-01T09:01:55+0000,article,National,U.S.,News,"['FEINSTEIN, DIANNE', 'CALIFORNIA', 'UNITED STATES POLITICS AND GOVERNMENT', 'POLITICS AND GOVERNMENT', 'WOMEN AND GIRLS', 'BOXER, BARBARA', 'SCHAAF, LIBBY (1965- )', 'SAN FRANCISCO (CALIF)', 'KOUNALAKIS, ELENI']"
39,"In dueling speeches in California, the two Republican candidates pushed for mass deportations, a position that is as extreme as it may be unfeasible.",2023-10-01T09:01:55+0000,article,Politics,U.S.,News,"['DESANTIS, RON', 'TRUMP, DONALD J', 'ILLEGAL IMMIGRATION', 'PRESIDENTIAL ELECTION OF 2024', 'REPUBLICAN PARTY', 'BIDEN, JOSEPH R JR', 'DEPORTATION', 'PRIMARIES AND CAUCUSES', 'SPEECHES AND STATEMENTS']"
40,"The British prime minister is trying to redefine himself as a conviction politician, leaning into the newly potent issue of meeting climate goals without raising costs for hard-pressed Britons.",2023-10-01T09:05:25+0000,article,Foreign,World,News,"['POLITICS AND GOVERNMENT', 'HIGH-SPEED RAIL PROJECTS', 'CONSERVATIVE PARTY (GREAT BRITAIN)', 'LABOUR PARTY (GREAT BRITAIN)', 'STARMER, KEIR', 'SUNAK, RISHI (1980- )', 'MANCHESTER (ENGLAND)', 'GREAT BRITAIN']"
41,"Kyiv expressed confidence that Washington would continue to support its war against Russia, even after Congress passed a stopgap funding bill that did not include money for Ukraine.",2023-10-01T09:31:05+0000,article,Foreign,World,News,"['RUSSIA', 'RUSSIAN INVASION OF UKRAINE (2022)', 'UKRAINE']"
42,"Seven months after powerful earthquakes battered the historic city of Antakya in southern Turkey, life feels temporary as residents await reconstruction.",2023-10-01T09:45:25+0000,article,Foreign,World,News,"['TURKEY EARTHQUAKE (FEB 6, 2023)', 'EARTHQUAKES', 'ANTAKYA (TURKEY)', 'TURKEY', 'AREA PLANNING AND RENEWAL']"
43,"“Many terrorists were neutralized,” Turkey said of the airstrikes, which it ordered after the P.K.K. took responsibility for a bomb attack.",2023-10-01T09:49:47+0000,article,Foreign,World,News,"['TERRORISM', 'ATTACKS ON POLICE', 'LEGISLATURES AND PARLIAMENTS', 'ERDOGAN, RECEP TAYYIP', 'ANKARA (TURKEY)', 'TURKEY']"
44,"Pegged to the movie “Dumb Money,” a discussion of the growing stupidity in the stock market.",2023-10-01T10:00:12+0000,article,OpEd,Opinion,Op-Ed,"['DUMB MONEY (MOVIE)', 'STOCKS AND BONDS', 'MOVIES', 'SHORT SELLING', 'SOCIAL MEDIA', 'GAMBLING', 'HEDGE FUNDS', 'GAMESTOP CORPORATION', 'ROBINHOOD FINANCIAL LLC', 'PERSONAL FINANCES']"
45,An army of individuals transport needed nonlethal supplies to Ukrainian military personnel in the field.,2023-10-01T10:00:12+0000,article,OpEd,Opinion,Op-Ed,"['RUSSIAN INVASION OF UKRAINE (2022)', 'VOLUNTEERS AND COMMUNITY SERVICE', 'KRAMATORSK (UKRAINE)', 'KHARKIV (UKRAINE)', 'UKRAINE', 'DEFENSE AND MILITARY FORCES']"
46,This is why I hate Banned Books Week.,2023-10-01T10:00:13+0000,article,OpEd,Opinion,Op-Ed,"['BOOK BANS', 'BOOKS AND LITERATURE', 'LIBRARIES AND LIBRARIANS', 'CENSORSHIP', 'FREEDOM OF SPEECH AND EXPRESSION', 'AMERICAN LIBRARY ASSN', 'UNITED STATES']"
47,Why I’m worried about the next phase of the Inflation Reduction Act’s rollout.,2023-10-01T10:00:13+0000,article,OpEd,Opinion,Op-Ed,"['INFLATION REDUCTION ACT OF 2022', 'TAX CREDITS, DEDUCTIONS AND EXEMPTIONS', 'UNITED STATES ECONOMY', 'UNITED STATES POLITICS AND GOVERNMENT', 'REBATES AND REFUNDS', 'ELECTRIC AND HYBRID VEHICLES', 'ALTERNATIVE AND RENEWABLE ENERGY', 'ENERGY DEPARTMENT', 'UNITED STATES', 'HOME APPLIANCES']"
48,"Christian nationalism may not be serious, but it’s very dangerous. ",2023-10-01T10:00:13+0000,article,OpEd,Opinion,Op-Ed,"['TRUMP, DONALD J', 'CHRISTIANS AND CHRISTIANITY', 'NATIONALISM (THEORY AND PHILOSOPHY)', 'PRESIDENTIAL ELECTION OF 2024', 'RELIGION AND BELIEF', 'UNITED STATES POLITICS AND GOVERNMENT', 'FRINGE GROUPS AND MOVEMENTS', 'REPUBLICAN PARTY']"
49,Many Chinese writers are looking for ways to capture the everyday realities that the government keeps hidden — sometimes at their own peril.,2023-10-01T10:00:20+0000,article,Podcasts,Podcasts,News,"['SURVEILLANCE OF CITIZENS BY GOVERNMENT', 'BOOKS AND LITERATURE', 'POLITICS AND GOVERNMENT']"
50,"Spanish authorities are investigating the origins of the blaze, in the southeastern city of Murcia, which also left at least four people wounded from smoke inhalation.",2023-10-01T10:31:25+0000,article,Foreign,World,News,"['SPAIN', 'MURCIA (SPAIN)', 'FIRES AND FIREFIGHTERS', 'BARS AND NIGHTCLUBS', 'DISASTERS AND EMERGENCIES', 'DEATHS (FATALITIES)']"
51,"A compromise in Congress averted a government shutdown, but battles over federal spending remain ahead.",2023-10-01T11:43:10+0000,article,NYTNow,Briefing,briefing,"['INTERNAL-STORYLINE-NO', 'UNITED STATES POLITICS AND GOVERNMENT', 'POLITICS AND GOVERNMENT', 'SHUTDOWNS (INSTITUTIONAL)', 'MCCARTHY, KEVIN (1965- )', 'REPUBLICAN PARTY', 'DEMOCRATIC PARTY']"
52,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.",2023-10-01T12:00:03+0000,article,Learning,The Learning Network,News,[]
53,"A day after the Republican speaker turned to Democrats for help passing a stopgap spending bill to avert a shutdown, the far-right congressman promised to try to remove him from his post.",2023-10-01T13:19:57+0000,article,Washington,U.S.,News,"['UNITED STATES POLITICS AND GOVERNMENT', 'CONSERVATISM (US POLITICS)', 'REPUBLICAN PARTY', 'GAETZ, MATT', 'MCCARTHY, KEVIN (1965- )', 'HOUSE OF REPRESENTATIVES', 'FEDERAL BUDGET (US)']"
54,Readers respond to a column by Nicholas Kristof. Also: Donald Trump’s appeal; diversity statements; artificial intelligence.,2023-10-01T14:32:44+0000,article,Letters,Opinion,Letter,"['PARENTING', 'MARRIAGES', 'FAMILIES AND FAMILY LIFE', 'WOMEN AND GIRLS', 'CHILDREN AND CHILDHOOD', 'MEN AND BOYS', 'TRUMP, DONALD J', 'UNITED STATES POLITICS AND GOVERNMENT', 'DIVERSITY INITIATIVES', 'COLLEGES AND UNIVERSITIES', 'MINORITIES', 'SINGLE PERSONS', 'ARTIFICIAL INTELLIGENCE', 'HIRING AND PROMOTION', 'RACE AND ETHNICITY', 'DISCRIMINATION']"
55,"Marinated all afternoon, placed on the grill an hour before sunset and served with warm tortillas, rice and beans, hot sauce and lime wedges.",2023-10-01T15:00:04+0000,article,Dining,Food,Letter,"['COOKING AND COOKBOOKS', 'CONTENT TYPE: SERVICE']"
56,Aleksandar Vucic called Washington’s assertions of a “destabilizing” military presence along the border a “campaign of lies” after an attack in Kosovo renewed attention to a territorial conflict.,2023-10-01T15:27:24+0000,article,Foreign,World,News,"['DEFENSE AND MILITARY FORCES', 'NORTH ATLANTIC TREATY ORGANIZATION', 'VUCIC, ALEKSANDAR', 'KOSOVO', 'SERBIA', 'UNITED STATES']"
57,"Greek authorities assumed the victims were asylum seekers because no one was looking for missing people locally. And for more than a month, their identities, and the circumstances of their deaths, remained a mystery.",2023-10-01T16:44:20+0000,article,Foreign,World,News,"['WILDFIRES', 'DEATHS (FATALITIES)', 'ASYLUM, RIGHT OF', 'SMUGGLING', 'REFUGEES AND DISPLACED PERSONS', 'MIDDLE EAST AND AFRICA MIGRANT CRISIS', 'EVROS (GREECE)', 'GREECE', 'TURKEY', 'SYRIA', 'AUDIO-NEUTRAL-INFORMATIVE']"
58,"For the Hulu hit, the director relied on visual and sound cues to create both the scares and the plot. Stephen King and Guillermo del Toro are fans.",2023-10-01T16:52:56+0000,article,Culture,Movies,News,"['MOVIES', 'NO ONE WILL SAVE YOU (MOVIE)', 'DUFFIELD, BRIAN (FILM DIRECTOR)', 'DEVER, KAITLYN', 'HULU.COM']"
59,"A blaze broke out at a nightclub complex in Murcia, Spain, causing a section of the building to cave in.",2023-10-01T17:00:44+0000,multimedia,,World,Video,"['FIRES AND FIREFIGHTERS', 'MURCIA (SPAIN)', 'DEATHS (FATALITIES)', 'BARS AND NIGHTCLUBS']"
60,The final season of Jaap van Zweden’s brief tenure as music director in New York began with a new suite for the star violinist Joshua Bell.,2023-10-01T17:23:29+0000,article,Culture,Arts,News,"['CLASSICAL MUSIC', 'NEW YORK PHILHARMONIC', 'VAN ZWEDEN, JAAP', 'BELL, JOSHUA (1967- )', 'THE ELEMENTS (MUSICAL WORK)', 'GEFFEN, DAVID, HALL (MANHATTAN, NY)']"
61,"The festival, with its variety of styles and cheap tickets, plays to excited audiences. Why can’t it give them better programs?",2023-10-01T17:52:45+0000,article,Culture,Arts,News,"['DANCING', 'NEW YORK CITY CENTER THEATER', 'GIBNEY DANCE', 'BALLET BC', 'CORNEJO, HERMAN', 'COTE, GUILLAUME', 'MEARNS, SARA', 'PITE, CRYSTAL', 'TAO, CONRAD', 'SMITH, BOBBI JENE', 'TEICHER, CALEB', 'TINES, DAVONE', 'CREDO (DANCE)', 'RHAPSODY IN BLUE (MUSICAL WORK)']"
62,"Duncan Crabtree-Ireland, the lead negotiator for SAG-AFTRA, will be a key player as the guild begins talks with the studios again on Monday.",2023-10-01T18:42:33+0000,article,Business,Business Day,News,"['CRABTREE-IRELAND, DUNCAN', 'DRESCHER, FRAN', 'ALLIANCE OF MOTION PICTURE AND TELEVISION PRODUCERS', 'SAG-AFTRA', 'ORGANIZED LABOR', 'STRIKES', 'ACTORS AND ACTRESSES', 'MOVIES', 'CONTENT TYPE: PERSONAL PROFILE']"
