,abstract,pub_date,document_type,news_desk,section_name,type_of_material,keywords
0,"A New Zealand lawmaker talked about the idea last week, though a union is unlikely ever to take place.",2023-09-01T01:42:20+0000,article,NYTNow,World,News,"['INDIGENOUS AUSTRALIANS', 'POLLS AND PUBLIC OPINION', 'REFERENDUMS', 'INTERNATIONAL RELATIONS']"
1,"A 6-foot-10 American, Isner had announced he would retire following the tournament. Losses in singles and doubles on Thursday ended a career known for powerful serves and a marathon match.",2023-09-01T01:57:49+0000,article,Sports,Sports,News,"['TENNIS', 'UNITED STATES OPEN (TENNIS)', 'ISNER, JOHN', 'CONTENT TYPE: PERSONAL PROFILE', 'MMOH, MICHAEL (1998- )']"
2,"Corrections that appeared in print on Friday, Sept. 1, 2023.",2023-09-01T01:58:35+0000,article,Corrections,Corrections,Correction,[]
3,"The pontiff arrived Friday on a trip that the Vatican said was meant to encourage the fewer than 1,500 Catholics there. But it also brings him close to two great powers that have vexed him.",2023-09-01T01:59:07+0000,article,Foreign,World,News,"['MONGOLIA', 'FRANCIS', 'ROMAN CATHOLIC CHURCH', 'INTERNATIONAL RELATIONS', 'POLITICS AND GOVERNMENT', 'RELIGION-STATE RELATIONS', 'RUSSIAN ORTHODOX CHURCH', 'RELIGION AND BELIEF', 'RUSSIAN INVASION OF UKRAINE (2022)', 'CHINA', 'RUSSIA']"
4,Robert Logan opens our solving weekend with an abundance of debut entries.,2023-09-01T02:00:07+0000,article,Games,Crosswords & Games,News,['CROSSWORD PUZZLES']
5,Joel Fagliano delivers a puzzle filled with visual tricks and tests.,2023-09-01T02:02:02+0000,article,Games,Crosswords & Games,News,"['FAGLIANO, JOEL (CROSSWORD CONSTRUCTOR)', 'PUZZLES']"
6,"In an audio recording made just before the first G.O.P. debate, the super PAC’s chief strategist disparaged rivals and described an expensive attempt to thwart Donald Trump in Iowa.",2023-09-01T02:02:31+0000,article,Politics,U.S.,News,"['PRESIDENTIAL ELECTION OF 2024', 'DESANTIS, RON', 'CAMPAIGN FINANCE', 'NEVER BACK DOWN INC', 'ROE, JEFFREY B (1970- )', 'DEBATES (POLITICAL)']"
7,"Danelo Cavalcante, a Brazilian national, escaped from a prison near Philadelphia days after receiving a life sentence for homicide.",2023-09-01T02:04:27+0000,article,Express,U.S.,News,"['PRISON ESCAPES', 'FUGITIVES', 'MURDERS, ATTEMPTED MURDERS AND HOMICIDES', 'CAVALCANT, DANELO', 'CHESTER COUNTY (PA)', 'PHILADELPHIA (PA)', 'PENNSYLVANIA', 'BRAZIL', 'CAVALCANTE, DANELO']"
8,A former Goldman Sachs trader moved to the Bay Area to make it in tech. He ended up buying rural land with money from some of Silicon Valley’s wealthiest people.,2023-09-01T02:13:29+0000,article,Business,Business Day,News,"['AREA PLANNING AND RENEWAL', 'LAND USE POLICIES', 'REAL ESTATE (COMMERCIAL)', 'REAL ESTATE AND HOUSING (RESIDENTIAL)', 'VENTURE CAPITAL', 'HIGH NET WORTH INDIVIDUALS', 'CONTENT TYPE: PERSONAL PROFILE', 'COMPUTERS AND THE INTERNET', 'SRAMEK, JAN (ENTREPRENEUR)', 'FLANNERY ASSOCIATES', 'CALIFORNIA FOREVER LP', 'COLLISON, PATRICK', 'STRIPE INC', 'MORITZ, MICHAEL JONATHAN', 'ANDREESSEN, MARC L', 'ANDREESSEN HOROWITZ', 'SOLANO COUNTY (CALIF)', 'SAN FRANCISCO BAY AREA (CALIF)', 'VALLEJO (CALIF)']"
9,"Tired of being deferential to men in my relationships, I decided to create my own drag king persona.",2023-09-01T04:00:11+0000,article,Styles,Style,News,"['LOVE (EMOTION)', 'INTERNAL-SUB-ONLY', 'DATING AND RELATIONSHIPS', 'BUENOS AIRES (ARGENTINA)', 'INTERNAL-OPEN-ACCESS-FROM-NL']"
